lat,lng
22.2955,114.24012
22.29794,114.2423
22.29861,114.23695
22.29918,114.23662
22.30472,114.22653
22.30603,114.23828
22.30591,114.22706
22.30606,114.2279
22.30919,114.2314
22.30939,114.23368
22.30781,114.23631
22.30656,114.2363
22.30697,114.23926
22.30902,114.23957
22.31244,114.23782
22.31306,114.2344
22.31036,114.2227
22.31257,114.2272
22.31433,114.22917
22.31739,114.23772
22.3165,114.23435
22.31666,114.23334
22.31861,114.23489
22.31883,114.23455
22.32069,114.23442
22.31912,114.23199
22.31754,114.23267
22.31626,114.2269
22.31595,114.22705
22.31633,114.22068
22.32031,114.22443
22.32021,114.22118
22.32052,114.22075
22.32106,114.2211
22.32196,114.22093
22.3245,114.22741
22.31652,114.2292
22.32634,114.22635
22.32626,114.22771
22.31446,114.22016
22.31611,114.21505
22.31631,114.21736
22.3165,114.21671
22.31679,114.21691
22.32053,114.22769
22.31899,114.21684
22.3195,114.21643
22.32073,114.21531
22.32205,114.21522
22.32711,114.22809
22.32439,114.21256
22.32601,114.21829
22.32616,114.21747
22.3253,114.21581
22.32825,114.21555
22.32901,114.21022
22.33009,114.20756
22.33346,114.2079
22.33373,114.20908
22.33174,114.22452
22.33066,114.22576
22.33059,114.22627
